06.03.2023 10:15:53.635 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 25.038 seconds (JVM running for 28.553)
06.03.2023 10:20:31.612 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 9064 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:20:31.615 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:20:48.019 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.738 seconds (JVM running for 19.863)
06.03.2023 10:21:47.886 INFO  r.s.S.H.CommandHandler - Gunhsik input: /events
06.03.2023 10:21:52.781 INFO  r.s.S.H.CommandHandler - Gunhsik click: future events
06.03.2023 10:21:57.522 INFO  r.s.S.H.CommandHandler - Gunhsik click: 4
06.03.2023 10:22:02.283 INFO  r.s.S.H.CommandHandler - Gunhsik click: back
06.03.2023 10:22:04.484 INFO  r.s.S.H.CommandHandler - Gunhsik click: menu button
06.03.2023 10:22:06.982 INFO  r.s.S.H.CommandHandler - Gunhsik click: past events
06.03.2023 10:22:11.495 INFO  r.s.S.H.CommandHandler - Gunhsik click: menu button
06.03.2023 10:22:21.524 INFO  r.s.S.H.CommandHandler - Gunhsik click: future events
06.03.2023 10:22:23.982 INFO  r.s.S.H.CommandHandler - Gunhsik click: 3
06.03.2023 10:22:36.752 INFO  r.s.S.H.CommandHandler - Gunhsik click: back
06.03.2023 10:22:52.889 INFO  r.s.S.H.CommandHandler - Gunhsik click: 3
06.03.2023 10:23:50.358 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 3
06.03.2023 10:23:52.729 INFO  r.s.S.H.CommandHandler - Gunhsik click: back
06.03.2023 10:23:55.086 INFO  r.s.S.H.CommandHandler - Gunhsik click: 3
06.03.2023 10:24:37.871 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 12412 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:24:37.878 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:24:52.026 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.24 seconds (JVM running for 18.262)
06.03.2023 10:25:10.479 INFO  r.s.S.H.CommandHandler - Gunhsik click: back
06.03.2023 10:25:12.322 INFO  r.s.S.H.CommandHandler - Gunhsik click: join all
06.03.2023 10:27:14.594 INFO  r.s.S.s.TelegramBot - Василий присоеденился ко всем мероприятиям
06.03.2023 10:27:14.980 INFO  r.s.S.H.CommandHandler - Gunhsik input: /events
06.03.2023 10:27:18.393 INFO  r.s.S.H.CommandHandler - Gunhsik click: future events
06.03.2023 10:27:20.774 INFO  r.s.S.H.CommandHandler - Gunhsik click: 3
06.03.2023 10:28:38.086 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 16108 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:28:38.096 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:28:53.404 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.546 seconds (JVM running for 19.942)
06.03.2023 10:44:34.620 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 9132 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:44:34.626 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:44:51.233 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.658 seconds (JVM running for 20.682)
06.03.2023 10:58:06.205 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 11344 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:58:06.209 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:58:21.382 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.305 seconds (JVM running for 19.219)
06.03.2023 11:05:41.847 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 4060 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:05:41.849 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:05:58.962 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 18.357 seconds (JVM running for 20.771)
06.03.2023 11:10:03.651 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 6664 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:10:03.655 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:10:22.467 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 20.326 seconds (JVM running for 23.527)
06.03.2023 11:12:10.753 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 15884 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:12:10.755 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:12:29.635 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 20.182 seconds (JVM running for 24.178)
06.03.2023 11:21:25.358 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 3
06.03.2023 11:21:33.469 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 4
06.03.2023 11:21:40.553 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 1
06.03.2023 11:22:15.295 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 2
06.03.2023 11:41:23.753 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 12896 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:41:23.759 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:41:39.241 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.78 seconds (JVM running for 19.633)
